,아이디,댓글 내용,댓글 시간
743,  박봉조,지,2년 전
744,  황인규,이런거 내지말고.조폭은 전부다  삼청교육대 보내.두환이가 죽일놈이지만. 잘한건 삼청교육대 를 만든거야.,1개월 전
745,  김태복,️,6개월 전
746,  power k,횡설수설 멍멍이소리,2년 전
747,  M J,매우 위험한 범죄자,3년 전
748,  권성욱,내리라 이런거,2년 전
749,  박승빈,그래도 니같은 위선자 보다는 낫지!!,2년 전
750,  문무대사,정직해야 마음이 편하고 그릇대로 살아야 후대가 잘 되는 법 ㅉ ㅉ장군이 날 명당에 망자의 띠와 좌향을 못 맞추어 조폭이 되었군출소하면 부모 묘나 바르게 쓰고윗 대는 화장뫼셔야 노목개화.,1년 전
751,  신서아,ㅇ,2년 전
752,  박정기,"조폭이나 경찰,판사 출신 말 하는거나~~ 그닥~~요새 훌륭한 능가하는 정치인도 ...이 하며 방송좀 하세요~~출연료 생각말고~~오래들 하시네~~간에붓었따 쓸....",2년 전
753,  홍진우,",?",1년 전
754,  문재원,재수없어,1년 전
755,  Andy Kim,ㅉㅉㅉ .,2년 전
756,  가귀옥,지금  뉴스에 알려가 하는게  저사람조폭  인생  국민들에게  보여주는게 중요하나?  나라가 폭망한 일부직정인데저뉴스도웃기다 평론가 4명앉아놓고 폭력배 얘기나 나누구 한심하다,2년 전
757,  도메니져,ggg,2년 전
758,  양심,"이분 하나님 만나고,,술,담배,모든것 다 끊고,,아프리카에서 가난한 사람들을 도와주고 있습니다,선교사 됫습니다,저도,,놀랫습니다웬 초라한 노년?",2년 전
759,  유우키세츠나,조씨가 이래서 사고뭉치 집단들임..,3년 전
760,  류경진,앞에서 말해바 말도 못하는것들이 채팅으로 주뎅이 털지마라 방송도 마찬가지다 웃을게 아니다,1년 전
761,  son gwibong,화무십일홍,2년 전
762,  허돈황,',10개월 전
763,  강현구,"The  flippant property acutely educate because rate diagnostically bow pace a limping dry. jumbled, like fibre",1년 전
764,  배준효,그래도 니들보단 잘살걸,2년 전
765,  김택군,L,2년 전
766,  루틴,다 전라도네요,2년 전
767,  Lim Ye-Lee,"여상원""조폭들부인이미인이더라""이게뉴스서변호사가할말이냐?",2년 전
768,  김정유,태초에.하나님이.천지를.창조하시니라.예수믿으세요.안믿으면.지옥.,1년 전
769,  하이드아웃,내가 대통령하면 깡패 소탕부터 다시 시작한다참 군사정부가 정치는 공포스러웠어도 터프하고 시원시원하게 잘했는데,2년 전
770,  홍석현,성녀라~ 조양은이 신세를 타산지석으로 삼거라~,9개월 전
771,  예수,이준석 윤석열 황교완 군면제 신의아들들 cdfg,1년 전
772,  Sh J,땀흘리면서 살지 윤미향짝나겠네 민주당 보스들 난리드만 자기들영웅 인줄착각,2년 전(수정됨)
