,아이디,댓글 내용,댓글 시간
104,  나무아래그늘(KimJunYeong),"저런 암덩어리들은 모조리 무기징역이나 사형때려서 없애라, 사회 암이다 암",3년 전
105,  행복,죄짓고 살지말야야지.ㅉ,4년 전
106,  발리면,"예전 양은이 진주교도소 사건알만한 사람은 알지그래보면 교도관,경찰,조폭 다똑같은 놈들이지",3년 전
107,  이내,김복준교수님 말씀 맞습니다 건달은 맞짱이엇죠 연장 다구린 양아치죠,4년 전
108,  ᄋᄋ나,앗 우리교수님이다♡♡,2년 전
109,  철민TV,답답하다.. 사보이호텔 왜 들어갔는지도 모르고 횟칼? 사보이호텔로 6개월 실형받고 살았는데 횟칼을 들어? 알지도 못하면서 왜 소문만 듣고 말하는지,2년 전
110,  빛가프리오,아참!  내가 사는 동네에서 얼마전에  동네건달이  민간이에게 시비붙히러 찾아갔다가 존나쳐맞고 합의금 600을 달랬다나 뭐래나.존나 웃긴  건달들?  니도 쳐맞으니 존나 아프제?  그니까 사람 함부러 패거나 헤꼬지하지마라?  민간인 잘못 건들다간 골로갈수있다?,3년 전
111,  KARMA o o,근 30년간의 군사정권 진짜 싫지만이승만 이래 정치에 줄을 대려던 깡패들 모조리 때려잡은건 진짜 잘했다노태우도 범죄와의 전쟁 선포해서 깡그리 쓸어버렸지옆나라 일본은 야쿠자와 정치가와의 유착이 문제인데,5년 전
112,  silvery rain,사람 고쳐 쓰는 거 아니라는 말이 딱이다,1년 전
113,  전해자,일반 사람들은 폭해만 해도2년 형을받는뎌 100억 사기는형을3넌 받나100 억 사기치면 얼마나. 피해자가 많고 목숨을 앗아가는데. 어찌 구형을. 잛게 주는거냐세상이 공평하짖않다,1년 전
114,  언제나예림팬,조양은때부터 양아치가 시작됐지주먹싸움이던 건달들생활에 최초 사시미쓴게 조양은이지근데 조직 떠난다고 미화돼서 영화도 찍고 지랄했어도 양아치근성은 어디 못감... 결국 저꼴이된 양아치할배지,5년 전
115,  순둥이,영화 만들때까지만 해도 다시 반성한 줄 알았더니 멀었어!,2개월 전
116,  배명길,조폭들의 말로는 초라한 말년 만이 남는다.,2년 전
117,  시러,진짜...갱생이 안돼네요,6년 전
118,  사운드오브뮤직,뿌린대로 거둔것  뿐  악한것을  뿌리니까..,4년 전
119,  이민섭,ㅎㅎㅎㅎㅎ 이제5년 지났네요 나이 먹고선 어떻게 사시려나 자기가 이런사람이였다고 떵떵 거리면서 살고 있을꺼 같네요,1년 전(수정됨)
120,  edward kim,미국은 권총가지고 난동부리거나 차로 도주하거나 하면 ㄹㅇ10년 이하를 본적이 없는데  한국... 멀쩡히 잇는 차 받아서1명 죽엿는데...직역 6개월...,6년 전
121,  심휴TV,조폭들은 해외로 추방시키는 법안을 만들필요가 있다,1년 전
122,  ᆞ현정,조양은 70년대 차값이 없어서 거지처럼 이 다방 저 다방 쫒겨다녔던 인물이다,4년 전
123,  Song Park,야 아무리 메이저 아니라해도 어떻게 앵커 아나운서 기자 하나같이 이렇게 천박스럽냐 헐 수준 떨어진다,6년 전
124,  J Park,늙으면 별볼일 없이 되버린다 신상사가  뉴욕의 한 호텔 로비에 내려왔었는데 어느 똘마니가 갑자기 나타나서 넙죽 절하던 모습이 생각난다,4년 전
