,아이디,댓글 내용,댓글 시간
82,  홍승표,차가 대단해서가 아니라 종합보험으로 커버가 안되기 때문일 뿐...,2년 전
83,  코빨간루돌프,응급차를 슈퍼차로바꾸면되겠다,4년 전
84,  안철산,국민의 의식수준이 아주 묘하게 들어나버리네요 ㅋㅋㅋ,3년 전
85,  yoon,ㄹㅇ 도로위의 천룡인이네,2년 전
86,  광전사지폭지술,슈퍼카는 도로위의 예술.보는것만으로도 설레이지,2년 전
87,  최대영,소방차 와도 안비키던 한국인이 외제차에는 친절합니다!,6년 전
88,  K James,슈퍼카버스 도입이 시급하네요 ㅎㅎㅎ,1년 전
89,  벌튜브,"응급차, 소방차 지날때 저래 좀 비켜줘봐라..",2년 전
90,  Thug Lee Robert,월급 200만원에 부모님집에 얹혀 살지만 제네시스는 꼭 타야한다고욧!,6년 전
91,  김전설,어이쿠! 양보는 무슨..ㅋㅋㅋㅋ 개커여워,4년 전
92,  김킴 ᨆ,미친ㅋㅋㅋㅋYTN에서 썸네일 “알고리즘이 나를 여기로 이끌었다.” 이렇게 바꾸다니ㅋㅋㅋㅋㅋㅋㅋ,1년 전
93,  T0PIC,이게바로 사람의마음까지바꿀수있는 돈의힘인가....,5년 전
94,  KyoJae TUBE,"ㅋㅋ 오토바이도 똑같아요. 저도 천만원짜리 오토바이 타다가 BMW오토바이로 최근에 바꿨는데, 항상 위협하고, 저를 괴롭히던 차들이 저의 안전을 최대한 배려해주면서 운전해주더라구요 ㅋ",1년 전
95,  bakas han,괜히 잘못박았다간 전세방이고 뭐고 다 날라간다 저런차는 조심하는게 좋다,6년 전
96,  팩트맨,강자한테 설설기고 약자한테 강자급 위세 쩔 대박이네 ㅋㅋ,6년 전
97,  화이루,이 실험은 버스가 10초나 기다렸다는장면에서 끝났다고 본다.,3년 전
98,  urmotherfather,i would do the same . if i scrach that 410.000 car. i would be in debt for life,2년 전
99,  범버꾸,수퍼카에 부딪히는 순간 내가 죽자너 ㅋㅋㅋ,3년 전
100,  박정현,현실적이면서 주옥같은 실험,3개월 전
101,  F**king dirty bald head ㅈ같은 대머리놈,이래서 초보운전연습으론 슈퍼카가 최고다,2년 전
102,  Per game퍼게임,0:47 어이쿠! 양보는 무슨..차들이 무서운속도로 씽↑씽↓ 지납갑니다.,2년 전(수정됨)
103,  kyunghoon Song,잘못하다 부딪혀서 수백~수천만원을 물어낼 상황이 있는 것이 가장 큼 ㅋㅋㅋ 심하면 억대까지,5년 전(수정됨)
104,  JulienKANG,이게 안타까운 현실인데 막판 모닝한테 차빼 라고 할 때 슬프지만 웃기기도함,6년 전
105,  ji hye kim,"슈퍼카니까 비켜주고 기다려주고, 경차니까 쉽게 끼어들고 양보안하고..이게 이성적 합리적 당연시되는거라면 회사생활이랑 똑같네..강약약강",2년 전
106,  끌레미오,알수없는 유튜브 알고리즘..  왜 나에게 3년전 경차와 슈퍼카에 대한 내용을 보여주는가..ㅋㅋㅋㅋㅋㅋㅋ,3년 전
107,  플골,가장 재밌고 신박한 뉴스임 ㄹㅇ,1년 전
108,  JS,"경차를 떠나서 욕질하는 애들은 그냥 인성 터져서 부모도 못알아보는놈들이니 차 안에서 울지말고 블박으로 신고해. 람보,페라리가 내 앞에 서있어도 무조건 3초뒤 빵이다. 신호대기중에 딴짓 하고선 뭘 잘했다고 몇초도 못기다려 주냐고ㅈㄹ인지 이해가 안가네.",4년 전
109,  초코 송송,그런데 정말 사무용품점과 회사 운영하는데 매장 배달 차를 레이로 쓰는데 배달 가끔 제가 직접 갈 때 경비아저씨들이 개무시함....ㅋㅋ 그런데 수금이나 미팅 있을 때에는 원래 내차 타고 들어가는데 그러면 인사 해주시더라구요 ㅋㅋ,2년 전
110,  오호라,슈퍼카는 비싸니 수리비를 내리 싫어서가 아닐까 하네요,5년 전
111,  송구리당당,씨이벌 모닝타는 나는 눙물이난다,2년 전
112,  DNA S,강자에겐 약한척 약자에겐 쌘척적어도 약자에게 쌘척하는 불우한 인간이 되지말자,4년 전
113,  영원한 위즈원,사실 기다리는게 아니고 구경하는 거임....,1년 전
114,  맞으며비,보험료도 경차의 50배 매겨야 정상,3년 전
115,  카사노박TV [CASANOPARK],초보운전자는 슈퍼카로 연습하면  보다 편하게 할 수 있습니다.,3년 전
116,  Yunchae Lim,앰블란스도 차종을 바꿔야 할 듯...특히 고속도로 버스전용 차선의 버스 기사들은  정말 안 비켜 주더군요.,2년 전
117,  탈다림슬레인,슈퍼카가 박을듯한 기세로 운전 해 버리면 주위 아수라장 가능 쌉가능,2년 전
118,  SYU BI,사실상 저런 차를 탄사람들이 문제를 많이 일으켜서 안믿고싶어도 도로에서 그대로 보여지는게 참..,5년 전
119,  모카고릴라,이게 현실이지... 다른말이 뭐가 필요하나,2년 전
120,  Lina Son,이건 무시한다기 보다는 돈때문에 그러는거라고 생각하는데...,3년 전
121,  Ko machi,저건 슈퍼카 부딫혔을 때 배상해야하는 금액이 상상 이상이라서 어쩔 수 없지...,4년 전
122,  KK K,직진 우회전 차선이라고 해도...  직진할라면  직진차선으로 가주는게  교통흐름원할에 도움이 되긴 하죠,4년 전
123,  도라이몽,이거 썸넬 바꿨넼ㅋㅋㅋㅋ예전에 봤었는데 썸넬 달라져서 순간 당황ㅋㅋ이게 더 잘 맞는듯 ,1년 전
124,  LeeSangHa Lee,도니...쵝오 ...,5년 전
125,  팩트폭격기,이것이 현실..그러니 죽어도 카푸어 하겠다는데 어쩔꺼야 사회가 이모양인데,1년 전
126,  사람,0:467 기자님 귀여우세요 ㅋㅋㅋㅋ 어이쿠 양보는 무슨 ㅋㅋㅋㅋㅋ,2년 전
127,  최현성,황금만능주의때문이 아니라 실제로 부딫힌 이후가 까마득해서 그런겁니다,3년 전
128,  De velop,0:52 바로 뒤에 버스 있을 때까지도 기다리는 실험을 해야했을까,2년 전
129,  JinHO KIM,슈퍼카 뒤차들이 와 ㅈㄴ 멋있다 하면서 구경하는거야ㅋㅋ,1년 전
130,  뭘봐,작은 차에  마동석이 있고 슈퍼카에는 일반시민이 있습니다.어떤 차를 추월해야 안전 할까요?,4년 전
131,  시옷이응,경차 구박 당하고 빵빵 소리치는거ㅋ 인간미있고 좋구만ㅋ,2년 전
132,  rjds,같은차로 비교를 해야지 뒷차 주인이 인성이좋으면 양보를 잘해주고 안좋으면 양보를 안해주니까,3년 전
133,  구독자 0따리부터,경차에서 힘쌘 선수들이 많이 나와야 경차도 무시안할듯,2년 전
134,  jjh0107 -ww2k,역시 모닝은 봉고르기니 무얼실을라고에 당할순 없다!!,2년 전
135,  불빛명화,모세의 기적  누리고 싶네요.잘 봣습니다.감사,8개월 전
136,  실버레몬,기자님 슈퍼카 사고냈으면 죽을수도..박았으면 영정각ㄷㄷ,2년 전
137,  여신,와 진짜 슈퍼카 심지어 직진신호 일때 뒤에 버스인데도 크락션 안울림.. 버스기사들 얄짤 없는데 와,5개월 전
138,  조경원,아니 무시고 존중이고 양보고 자시고간에저런 외제차는 상대가 들이 받아서 수리비 상대 9대 나 1이어도 몇백 몇천 나오는데 조심스럽고 알아서 비키지;,3년 전
139,  youtube ID for,이미봤는데 유튜브 알고리즘이 날 계속 이곳으로 이끈다...,2년 전
140,  이현민,똥을 더러워서 피하는 것처럼슈퍼카를 무서워서 피합니다.,3년 전
141,  tea green,"이 영상을 찍는 순간부터, 이미 이런 결과를 원하고 찍은거겠지.",1년 전
142,  RCBO,교통 흐름에 맞게 운전만 잘하면 클락션 맞을 일 없습니다(경차는 안 타봤습니다),6년 전
143,  ABC,근데 보험사 과실 보면 별별 이유 다있던데 저기서 빵 했다가 미친놈이 같이 죽자고 후진해버리면 정차중에 거리 뒀어도 과실 제로 뜨지 않을 확률이 있긴 있을걱같음..,1년 전
144,  ビットコイン,실험을 부산에서 했어야한다,3년 전
145,  프로댓글러,박으면 인생이 박살나는 5억짜리 슈퍼카 VS 박히면 목숨이 박살나는 몬스터 트럭,3년 전
146,  제임슨,이것이 우리나라의 문제점을 한번에 보여주는 영상이다,6년 전
147,  Shim,"슈퍼카가 모세의 기적을 만든다는 사실보다 댓글에도 ""역시 돈이 많고 봐야해""라고 말하는 사람이 많은 현실이 더 착잡하다.",1년 전
148,  박상언,혹시나 운없게 접촉사고나면 엄청힘들어지니 일단 파하고보는게 더 큰이유같은데,4년 전
149,  gl,오토바이 배달기사분들 인간취급 안하는 예전 본부장 생각난다... 제발 지금도 망했기를 기도...,1년 전
150,  Sunny Jang,구급차랑 경찰차를 슈퍼카 급 가격인 차로 만들죠,6년 전
151,  편하비,우리 아버지는 앞에 페라리 지나가는데 그냥 평범하게 운전하심 ㅋㅋㅋ,5년 전
152,  아 애깹다애깨워,차에서도 강약약강ㅋㅋㅋㅋㅋㅋㅋ 진짜 국민성,5년 전
153,  권도비,물질 만능주의 ㅋㅋㅋㅋ 역시 사람이란,1년 전
154,  이승환,"저런 고가 슈퍼카는 일반적 최고급세단인 에쿠스(제네시스 EQ900), 벤츠 S클래스 등등 운전자까지도 움찔하며 조심성 느껴지죠....",6년 전
155,  봉구아빠,돈의 힘.. 가지고 있다가 없어질 때 더 강렬하게 오지,5개월 전
156,  JUNjjang,근데 모세의 기적은 언제 보여주실껀가요?,6년 전
157,  TyaTya,강자에게 약하고 약자에겐 갑질하는 인간 기본심리를 보여주지..당연한 이야기하네..,6년 전
158,  역공,부가티가 도로에 나오면 그 도로에 왕이 되겠다 ㅋㅋ,2년 전
159,  최성부,이거 현실임 ㅠㅠ슬픔..,1년 전
