,아이디,댓글 내용,댓글 시간
66,  @user-mi9is5hd5d,천사이십니다  차를 끌고 계시는분도 뛰어들어가 도와주신 여자분도 존경스럽습니다이런분들에게는  좋은일만 생기길 바랍니다남이  봐도 감사할 따름입니다,2년 전
67,  @ghkl1501,렉카기사님과 간호사분 기타 도와주신분들 진짜 대단하십니다.. 특히 간호사분은 불타고 있는 버스에서 진짜 저러기 쉽지 않은데 정말 대단하네요.. 정말 다행입니다.. 고맙습니다.,2년 전
68,  @jap4334,우리나라 간호사님들은 영웅들이 많네요~간호사님~감사합니다~♡♡♡레커 기사님도 감사합니다~♡♡♡~진정한 영웅들~멋지셔요~♡♡♡,1년 전
69,  @ziziziczic,간호사님 그리고 도움주신 많은 분들 복 많이 받으세요.,2년 전
70,  @user-rx3jk8yc6d,차가 불에 타고있는데 뛰어들어가서 돕는거...레카 기사분도 그렇고 진정한 천사들 ㅜㅜ복받으세요 와 진짜 소름이 너무 돋음,2년 전
71,  @user-rw1qb8tn7u,진심으로 존경합니다. 견인차주님 간호사님 정말 감사합니다!!,3년 전
72,  @oesnuj7337,자신의 생명 또한 위험한 상황에서 버스기사를 구하려는 간호사분과 렉카차기사님 정말 대단한 것 같습니다. 버스기사님 안전하게 구조되어서 정말 다행이네요!! 아직 살기 좋은 나라 같습니다.,11개월 전
73,  @queenys7254,소름 돋는다. 견인차 기사님과 간호사님 진짜 영웅들 너무 멋있어요!! 감사합니다️,2년 전
74,  @rop4041,버스기사님 구한 시민들 존경합니다!,3년 전
75,  @hsbaewa,저건 진짜 생각 안거치고 본능적으로 한거다,3년 전
76,  @user-nn3hu2fj9u,이시대 영웅들 ㅠ 이런분들이 오래살아야 한다고 생각합니다.,5개월 전
77,  @user-el5co1jr4r,이런 일들이 더 많은 조명을 받았으면 합니다.정말 대한민국에 필요한 귀중한 분들이시고 저 또한 저런 상황에서 저렇게 행동할 수 있는 사람이 되었으면 좋겠네요.,6년 전
78,  @user-db8ox6kc2j,잘 하셨습니다 기사님을 구한 모든 영웅분들께 박수를 보냅니다마음이 뭉쿨합니다살만한 세상인 듯 합니다,3년 전
79,  @supking2697,언제 터질지 모르는 폭탄속에 몸을던져 한 생명을 구하신 영웅분들.. 존경합니다..,2년 전
80,  @user-bp2wp8oh2m,감동입니다대한국민들 만세!,2년 전
81,  @jjjjjepum3318,진짜 존경합니다.. 내가족도 아니고 친구도 아닌 사람을 내목숨걸고 들어가 저렇게 할수있는 사람 몇이나될까요? ㅠㅠ 정말대단합니다,2년 전
82,  @user-kh8xh7ho3l,위험한 순간에 직업정신이 드러나는군요가슴이 뭉클합니다레커기사님의 빠른 판단과 조처 덕분에 기사님을 안전하게 빼 내셨군요급하게 버스에 뛰어 오른 간호사님의 모습에도 감동입니다두 분 복 받으세요~~~,2년 전
83,  @ELFsaranghae1,Mad respect to her ,3년 전
84,  @user-zj7mn8ej8c,와 진짜. 사람 목숨을 구한 영웅 아닙니까 .렉카기사분 대단하십니다간호사분 대단하십니다평생 복받고 대대로 흥하세요~~,2년 전
85,  @user-fz2tg7lh7k,"버스가 언제 터질지 모르는 상황에서도 버스안으로 들어가 기사분을 구출하는 용기가 정말 대단한 것 같습니다.버스 기사를 구출하라고 소리치는 렉카기사분과,버스로 들어가 구출하는 간호사분 모두 정말 멋있네요!!",2년 전
86,  @bramcohen545,"레카 기사님도 그렇고, 간호사분 정말 은인이시네요!!! 평생 복 받으실 거예요!!",3년 전
87,  @user-bg1lx6rp9k,눈물나네요~간호사분 정말 대단하세요,2년 전
88,  @user-ss4ub9hw2z,진짜 가슴이 찡하다ㅠ,3년 전
89,  @user-gh7ec5gh1q,저상황에 있던 모든 사람들이 영웅이네요,3년 전
90,  @user-vv1mf2zc8t,살아있는 천사 두 분...복 받을겁니다...♡,1년 전
91,  @user-ij2qx7uw1c,사람을 살리셨네요 누군가의 가족이었을... 버스기사님이기에 한사람이 아닌 가족까지 구한겁니다. 정말 훌륭한일을 하셨습니다,2년 전
92,  @user-cd1ct3ej3q,정말 코로나 사태에서도 그렇고 대한민국이 대단한게 아니라 대한민국 간호사님들 마인드가 세계최고라고 생각합니다 대한민국 의료진분들 화이팅 !!,2년 전(수정됨)
93,  @luxe0118,엄두도 안날 상황에 지체없이 뛰어들어가는 간호사님이랑 렉카기사님 정말 대단하고 존경스럽네요 정말 본받고 싶은 분들이에요,2년 전
94,  @user-ob7jd1oj6f,영웅은전설이거나 가상도아닙니다 동영상에나오는분들이야말로 진정한영웅이며 어벤져스들입니다 세상이아무리 위험하고 팍팍하더라도 지금도 따뜻한분들이많습니다 진심으로가슴깊이박수를보냅니다~ 동영상을보니까 저도가슴이따뜻해져오네요 고맙습니다 감사합니다...,3년 전(수정됨)
95,  @MrAbcd5140,진짜 이시대의 영웅이다,6년 전
96,  @user-kl7wy6ng9g,진짜 대단하신분들이네요 ㅜㅜ 복받으실겁니다,3년 전
97,  @seoyoungyang6309,영웅들너무 멋있어요 알려지지않은 일상속 영웅들도 너무 멋있고 감사합니다 ! 꼭 알려져야만 그고마움을 표하지않고 알려지지않은 영웅도 항상 감사드리고 당연히 항상 이런상황들속 지켜주시는 소방관분들 경찰분들 묵묵히 우리에 뇌리에 112 119 로 당연하다 생각지않고 생명을 구하는 당신들은 꼭 되갚아지길 바랍니다,3년 전
98,  @cmy5674,두분 다 너무 멋지십니다.쉽지않앗을텐데 찡하네요~,2년 전
99,  @user-yk2hk9gw4l,여성분 뛰어들어갈때 벅찬 감동과 눈물터짐 ㅠㅠ 감사합니다.,3년 전
100,  @user-fc8rg4lu6p,간호사분 진짜 멋있다 차분하게 안에 들어가셔서 도와주시는 거잖아 그냥 무서워서 방치 시킬 수도 있는 상태였는데 다 때려치고 무조건 구한 거잖아,3년 전
101,  @user-nt2eq5hl2j,타인의 목숨도 자기의 목숨처럼 소중히 여길주아시는 의인분들 이시네요,3년 전
102,  @won589,진짜 대단하다! 기사분 못나온거보고 후다닥 뛰어가는것봐... 제가다 감사합니다.,1년 전
103,  @user-mc7jp7nh8d,여러번 본 영상이지만 볼때마다 소름돋음진짜 영웅들난 저 상황에 절대 버스안으로 뛰어들지 못함대대손손 복많이 받으세요,3년 전
104,  @user-pv4fo2ry4g,저런 간호사가  진정한 국민이고 사람이고 인간이다   가슴이  뻑뻑한  영상이지만  그순간 만큼은 영원한 과거의 평생 트라우마로  남을듯한  영상 입니다간호사 님 사랑합니다  ~♡,2년 전(수정됨)
105,  @user-tc5he3xt3t,견인기사분과 간호사님이 진정한 영웅이네요,3년 전
106,  @sulee5355,진정한 나이팅게일 선서의 의미,3년 전
107,  @user-xv4zb5hq8w,감사합니다 기사님 구해주셔서 ㅠㅠ!!!!!!!!!!,3년 전
108,  @queenv3860,정말 멋있네요.... 대단하시다. 저분들에게 좋은일들 많이 생기시길 바랍니다.,2년 전
109,  @user-ex4ki3ik2g,멋지다!! 사회의 구성원으로써 감사함을 느낍니다!!,2년 전
110,  @user-uv2wr2ju6v,간호사분 천사네요...️,3년 전
111,  @user-yb4ec6ij2q,렉카기사님하고 간호사분 덕분에 참 아직 우리나라가 좋은분들이 많다는걸 느낍니다 두분 감사합니다 좋은일만 앞으로 많이 많이 생기시길 바랍니다,3년 전
112,  @user-wn9oc5je2z,렉카 기사분께서 핸들에 고리를 감아 당기지 않으셨다면 버스기사분께서 못나오실수도 있었고간호사님의 응급조치와 대처가 없었더라면 버스기사분의 생명이 위태로우셨을수도 있습니다.그 긴박한 상황 속에서 침착하게 대처해주신 두분 정말 감사인사 드려요!,2년 전(수정됨)
113,  @user-fb1uk4hk9z,"정말  멋진분들 이군요,,,,,이시대에 보기드문  귀한분들 이네요,,,",6년 전
114,  @bluejini6295,영웅은 따로 있는거가 아니라는 생각이 많이 드네요. 자신의 몸을 던져서 남을 구하시는 이런분들이야 말로 진정 이시대에 영웅이십니다. 그나저나 이런 영상에 싫어요 누르는 건 대체 뭔 생각을 가지고 그러는 걸까요?,1년 전
115,  @mrhololololo8729,"벌써 4년전 영상으로 뜨네요. 처음 사고소식 및 영상을 접했을 때 간호사님, 렉카차주분, 주번 시민분들 정말 대단하고 감사했됴 물론 지금도. 그냥 다시 영상 보니까 간호사분이 혼자서 버스 운전기사님 구조하려 애쓸 때 렉카차주분께서 ""빨리 가서 도와줘요"" 라며 버스 옆 서있던 시민들을 보고 손짓하니 시민분들께서 기다렸다는 듯 반응하시는 걸 보니까 예전 cpr 배울 때 주변 사람들이 있으면 특정을 해서 지목을 하던 해서 도움요청을 하라고 했는데 지금이 그런 상황과 유사한 것 같네요. 본능적으로 달려가 자기의 역량대로 구조활동을 하신 분들, 또 어떤 도움이 될 수 있을까 나와있던 사람들, 그리고 도움 요청에 기다렸다는 듯 반응하는 사람들 모두 최고 입니다 !",1년 전
116,  @user-yf4rx2mh6m,용감한 시민에게 박수를 보냄니다...,2년 전
117,  @user-bn4fn8vq5d,뛰어 들어갈때 괜히 울컥하네..멋지심..,3년 전(수정됨)
118,  @user-ku2qs2kk3e,"개인주의가 만연한 이세상에 간호사분하고 렉카기사분은 너무너무너무 대단하신분들입니다,,,",2년 전
119,  @user-hg8ys9oc7q,평생 꽃길만 걸으실겁니다 ㅠ ㅠ,3년 전
120,  @user-kn2di3wu6l,영웅이 달리 영웅일까요...이런분들이 우리사회를 지켜내는 힘이네요%%,1년 전
121,  @user-vb7gd8kc3r,대단하네요  좋은분들 감사합니다  복많이 많이 받으세요,3년 전
122,  @luxe0118,위험상황에 현명한 판단하셔서 도와주신 렉카기사님 불이 붙은 위험한 상황에 앞뒤 안가리고 달려가서 도와주신 간호사님 정말 대단합니다,2년 전
123,  @user-bs3md1fb5k,대단한 영웅들이세요 정말 본받아야 합니다,3년 전
124,  @user-oe7he6ku8r,여러분들이 귀중한 생명을 구했습니다. 감사합니다.,1년 전
125,  @user-gm9dq2wo1x,간호사님 멋지세요♡♡,3년 전
126,  @user-jg9yd8so7i,간호사 선생님 너무 멋져요......... 진짜진짜...,3년 전
127,  @user-tg6qt4ei5d,참으로~... 대단한 우리들 속의 시민 영웅들... 대한민국 힘의 원동력이네요... 수고하셨습니다~ 그리고 감사합니다.,1년 전
128,  @user-tt7sd9uf6p,이런분들이 있기에 아직은   희망이 있는거죠. 화이팅합시다.,3년 전(수정됨)
129,  @user-nw4tr1em3x,멋있습니다 진짜.. 저런분들 본받아서 성실히 살겠습니다,2년 전
130,  @ekej0412,간호사님 버스로 뛰어올라가는 다급해보이는 뒷모습이 너무나 아름답습니다,2년 전
131,  @user-pd4mt8bl7y,와진짜 간호사분영웅이다,5년 전
132,  @user-gz1dz3si3b,이런 사람들 보면...아직 그래도 살만한 세상이라는 생각이 드네요. 숨은 영웅들 모두 박수받기에 마땅하십니다.,2년 전
133,  @user-ez5mt9co9u,정말 저런위험한상황에 저렇게 뛰어들수있는 사람이 몇이나될까요 존경합니다 감사합니다 건강하시길,2년 전
134,  @user-lh7ci5xp4h,와...진짜멋있어요..두려움에 선뜻 못할행동들인데 ㅜ,3년 전
135,  @kora.p4371,도움주신분들 감사드립니다 대단하신분들우리 한국사람들이 저정도다자랑스럽다,3년 전
136,  @user-zj6tg2ib5i,진짜 멋있으시네요..,3년 전
137,  @gandaega,우리 대한민국 국민은 진짜 위기에 강한민족인거 같음정말 대단하신분들이네요 간호사님도..렉카 사장님도 정말 탁월한 경험으로 위기에 대처하시는 모습 정말 든든하면서 마음이 따뜻해 집니다,8개월 전
138,  @user-sy5km1tj8t,불이 붙은 상황에선 언제 폭팔할지 모르는데 진짜 대단하다 저 여성분은 간호사가 아니였어도 저리 하셨을꺼같아요 렉카 기사님도 사람부터 구할려고하시고 대단하시네요 두분다,2년 전
139,  @user-fi5uj3db8t,두분다 천사 이십니다100년동안대접받고 행복하세여,2년 전
140,  @user-wl1dq8qh6o,3년전 영상이 나에게 추천되는건 도대체 무슨 알고리즘인지우쨨든 감동적이고 우리나라 국민들은 참 멋지다,2년 전
141,  @juft77,여성분의 용기에 감동과 감사를 드립니다..정말 대단한 일을 하셨어요렉커 기사분 또한 정말 감사드립니다두분들이 있어서 세상은 따뜻합니다,2년 전
142,  @agadason5714,이리하여 대한민국은 아직은 희망이 있고 미래가 있다구조에 참여하신 모든분들감사 드립니다!,3년 전
143,  @sujis5528,간호사선생님 대단합니다. 본인도 무서웠을텐데 몸이 바로 반응을 하시네요ㅠㅠ 다른분들 보고만 있고.. 렉카기사님 도움이 없었으면 정말 다들 큰 사고 났을겁니다,3년 전
144,  @user-ph2rp4iv5v,저도 견인차 하는분들한테 안좋은인식이 많았는데 기사님보고 생각이 많이 바뀌네요 감사합니다,3년 전
145,  @user-xd2hz1ij6d,"여러분, 저 여자분이 간호사라 당연히 그래야 되는게 아니에요..그냥 저 분 자체가 대단한거에요. 세상에 자신이 죽을수도 있는 상황에 자신을 희생하여 남을 구하는 사람이 그렇게 흔하지 않아요. 우리나라 영웅들이 이런 사람들 아닐까요?",2년 전
146,  @eunchelkum5803,말이안나옵니다 . 존경스럽습니다.,3년 전
147,  @PraiseMySpirit,저 여성분 나중에 넥센에서 시구하셨는데ㅠㅠ정말 대단해요ㅠㅠㅠ,3년 전
148,  @nice735,다른사람은  쳐다보고있는데 간호사분  대단하시네요,3년 전
149,  @kjy9530,대단 하십니다존경 합니다ㅠㅠ,3년 전
150,  @user-in4kl5zi7h,저건 진짜 아무나 못할일이죠 버스기사분은 간호사한테 평생 잊지말고 고마워하면서 지내셔야할듯,5개월 전(수정됨)
151,  @user-zd1fp6di7o,대단하십니다!!️ 멋있는 여성분이시네요!!️️당신이 있어 세상이 아직 살만한 나라입니다!️,3년 전
152,  @user-op2jz1xg9f,정말 대단하세요!!!   이런분이 있다는 걸 정말 감사한 일 입니다 ~정말  대단한 분이에요,3년 전
